id,merchantId,name,description,price,stock,category,commissionRate,status,metadata,createdAt,updatedAt,productType,fixedCommissionRate,allowCommissionAdjustment,minCommissionRate,maxCommissionRate
d8783f72-3419-4470-8def-2c0c7476329f,b7d53f17-f708-49de-9afd-b9dd9984eb97,跨境智能POS套件,包含云端收款、风控、清结算的全链路POS解决方案，支持40+国家货币。,1.00,25,支付硬件,10.00,inactive,"{""currency"": ""CNY"", ""delivery"": ""全球7日达"", ""warranty"": ""24个月""}",2025-11-21 17:27:39.586872,2025-11-30 09:18:57.358833,physical,,f,,
c5448107-da34-44f1-85e5-e72a0a307c6b,f9fd7fe9-18eb-4519-806a-7a486be863c9,魔法法杖 - 冰霜之触,法师专用武器，拥有强大的冰霜魔法加成，适合远程输出。,0.10,8,游戏装备,0.15,inactive,"{""game"": ""传奇世界"", ""type"": ""weapon"", ""image"": ""https://via.placeholder.com/300x300?text=魔法法杖"", ""rarity"": ""rare"", ""currency"": ""USD"", ""attributes"": {""magic"": 150, ""iceDamage"": 40}}",2025-11-16 10:13:27.124104,2025-11-30 09:18:57.44918,physical,,f,,
0bb378f6-9df6-424b-a6e7-bb3e73873ccb,b7d53f17-f708-49de-9afd-b9dd9984eb97,Metaverse 店面访问NFT,限量100枚的虚拟店面访问凭证，可解锁沉浸式购物体验与专属空投。,0.88,100,Web3资产,15.00,inactive,"{""chain"": ""Ethereum"", ""currency"": ""ETH"", ""contractAddress"": ""0x0000000000000000000000000000000000000000""}",2025-11-21 17:27:39.622364,2025-11-30 09:18:57.285151,nft,,f,,
55774326-2069-4fc7-a8af-bdc579e4b69c,f9fd7fe9-18eb-4519-806a-7a486be863c9,防御盾牌 - 守护者,高防御力的盾牌，适合坦克职业，提供强大的防护能力。,0.10,20,游戏装备,0.12,inactive,"{""game"": ""传奇世界"", ""type"": ""armor"", ""image"": ""https://via.placeholder.com/300x300?text=防御盾牌"", ""rarity"": ""uncommon"", ""currency"": ""USD"", ""attributes"": {""block"": 15, ""defense"": 200}}",2025-11-16 10:13:27.135949,2025-11-30 09:18:57.467884,physical,,f,,
626da3b7-172d-44b9-affa-15ccf6b15dce,f9fd7fe9-18eb-4519-806a-7a486be863c9,游戏金币包 - 1000金币,游戏内货币包，可用于购买游戏内物品和服务。,0.10,999,游戏货币,0.08,inactive,"{""game"": ""传奇世界"", ""type"": ""currency"", ""image"": ""https://via.placeholder.com/300x300?text=金币包"", ""amount"": 1000, ""currency"": ""USD""}",2025-11-16 10:13:27.14651,2025-11-30 09:18:57.483106,physical,,f,,
44fe5fbc-ed88-417c-85d6-a77787de3853,86ed4906-88eb-4a54-b8f2-15fce6ca65d1,🎮 NFT 游戏道具 - 传奇之剑,限量版 NFT 游戏道具，可在游戏中使用的传奇之剑。支持数字货币钱包支付，适合 Web3 用户。,0.01,100,NFT,8.00,inactive,"{""chain"": ""BSC"", ""image"": ""https://images.unsplash.com/photo-1639322537504-6427a16b0a38?w=400"", ""tokenId"": ""1"", ""currency"": ""USDT"", ""assetType"": ""nft_rwa"", ""productType"": ""nft"", ""paymentMethod"": ""wallet"", ""contractAddress"": ""0x0000000000000000000000000000000000000000""}",2025-11-25 08:31:10.784842,2025-11-30 09:18:57.309341,nft,,f,,
5ffe7818-5160-497c-ab11-3b3c5c8008c9,86ed4906-88eb-4a54-b8f2-15fce6ca65d1,📚 高级阅读服务 - QuickPay 体验,适合 QuickPay 小额支付的阅读服务产品。使用 X402 协议快速支付，适合小额高频场景。,0.01,1000,服务,5.00,inactive,"{""image"": ""https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400"", ""currency"": ""USDT"", ""assetType"": ""service"", ""productType"": ""service"", ""x402Enabled"": true, ""paymentMethod"": ""quickpay""}",2025-11-25 08:31:10.352099,2025-11-30 09:18:57.561315,service,,f,,
1135cc2c-843a-4d56-9bfb-f4579aa0373b,86ed4906-88eb-4a54-b8f2-15fce6ca65d1,💳 高级会员服务 - Stripe 支付,高级会员服务，支持 Stripe 支付方式。主要用于测试佣金分配机制和结算流程。,0.10,50,服务,10.00,inactive,"{""image"": ""https://images.unsplash.com/photo-1551434678-e076c223a692?w=400"", ""currency"": ""USD"", ""assetType"": ""aggregated_web2"", ""productType"": ""service"", ""paymentMethod"": ""stripe""}",2025-11-25 08:31:10.864752,2025-11-30 09:18:57.382813,service,,f,,
47173d44-06f9-4f62-a362-4d1e2ea66cca,86ed4906-88eb-4a54-b8f2-15fce6ca65d1,🛍️ 实物商品 - 智能手表,智能手表实物商品，支持多种支付方式。测试实物商品的完整支付和物流流程。,1.00,20,电子产品,6.00,inactive,"{""image"": ""https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400"", ""currency"": ""CNY"", ""assetType"": ""physical"", ""productType"": ""physical"", ""paymentMethod"": ""wallet""}",2025-11-25 08:31:10.914235,2025-11-30 09:18:57.41147,physical,,f,,
2e0f67cd-e041-455b-b4f4-5229f90ca803,b7d53f17-f708-49de-9afd-b9dd9984eb97,Web3 结算智能合约顾问,面向品牌/商家的链上结算设计服务，含审计、部署、监控，适用于NFT/订阅类业务。,0.10,9999,专业服务,12.00,inactive,"{""currency"": ""USD"", ""delivery"": ""线上交付"", ""serviceSLA"": ""按项目交付""}",2025-11-21 17:27:39.608992,2025-11-30 09:18:57.500105,service,,f,,
cf0245a7-6476-475b-ad65-bf873523d487,f9fd7fe9-18eb-4519-806a-7a486be863c9,代币包 - 1000 USDT,稳定币USDT，可用于交易和支付，基于ERC-20标准。,0.01,100,链上资产,0.05,inactive,"{""type"": ""token"", ""chain"": ""ethereum"", ""image"": ""https://via.placeholder.com/300x300?text=USDT"", ""amount"": 1000, ""currency"": ""USDT"", ""standard"": ""ERC-20""}",2025-11-16 10:13:27.314366,2025-11-30 09:18:57.5197,physical,,f,,
c89dadb3-9463-4386-bb23-f30a65925c6e,f9fd7fe9-18eb-4519-806a-7a486be863c9,品牌Logo设计,专业品牌Logo设计，包含3个设计方案，源文件交付。交付周期：3-5天,1.00,999,设计服务,0.15,inactive,"{""type"": ""virtual_service"", ""image"": ""https://via.placeholder.com/300x300?text=Logo设计"", ""currency"": ""CNY"", ""serviceType"": ""logo_design"", ""deliveryDays"": 5}",2025-11-16 10:13:27.237975,2025-11-30 09:18:57.542256,physical,,f,,
7d7812d3-ef0c-4402-b587-8b703005a69c,f9fd7fe9-18eb-4519-806a-7a486be863c9,技术咨询服务,资深技术专家一对一咨询服务，涵盖架构设计、技术选型、问题诊断。时长：2小时,1.00,999,咨询服务,0.18,inactive,"{""type"": ""consultation"", ""image"": ""https://via.placeholder.com/300x300?text=咨询服务"", ""currency"": ""CNY"", ""duration"": ""2小时"", ""serviceType"": ""tech_consulting""}",2025-11-16 10:13:27.252157,2025-11-30 09:18:57.579242,physical,,f,,
50cce73e-798f-4e04-8d9b-f8556211999b,f9fd7fe9-18eb-4519-806a-7a486be863c9,AI模型训练服务,专业的AI模型训练和优化服务，包括数据预处理、模型训练、性能优化。交付周期：10-20天,1.00,999,技术服务,0.25,inactive,"{""type"": ""technical_service"", ""image"": ""https://via.placeholder.com/300x300?text=AI服务"", ""currency"": ""CNY"", ""serviceType"": ""ai_training"", ""deliveryDays"": 20}",2025-11-16 10:13:27.261997,2025-11-30 09:18:57.594419,physical,,f,,
91d91c3f-af3c-4edf-ad99-6993ce203f20,f9fd7fe9-18eb-4519-806a-7a486be863c9,在线课程 - 前端开发,完整的前端开发课程，包含HTML、CSS、JavaScript、React等，视频+实战项目。,1.00,999,在线教育,0.15,inactive,"{""type"": ""subscription"", ""image"": ""https://via.placeholder.com/300x300?text=在线课程"", ""currency"": ""CNY"", ""duration"": ""3个月"", ""courseType"": ""frontend""}",2025-11-16 10:13:27.326381,2025-11-30 09:18:57.61085,physical,,f,,
c0618abd-8562-4b23-8334-97106d244a56,f9fd7fe9-18eb-4519-806a-7a486be863c9,会员订阅 - 高级版,平台高级会员，享受专属功能、优先客服、无限制使用。订阅周期：1年,1.00,999,订阅服务,0.10,inactive,"{""type"": ""subscription"", ""image"": ""https://via.placeholder.com/300x300?text=会员订阅"", ""currency"": ""CNY"", ""duration"": ""1年"", ""features"": [""专属功能"", ""优先客服"", ""无限制""]}",2025-11-16 10:13:27.34456,2025-11-30 09:18:57.626849,physical,,f,,
4927263c-efca-476a-bf65-4bc8af5f00d1,f9fd7fe9-18eb-4519-806a-7a486be863c9,定制T恤 - 个性化设计,支持自定义图案和文字的T恤，多种颜色可选，7-10天发货。,1.00,200,定制商品,0.12,inactive,"{""type"": ""custom"", ""image"": ""https://via.placeholder.com/300x300?text=定制T恤"", ""currency"": ""CNY"", ""customizable"": true, ""deliveryDays"": 10}",2025-11-16 10:13:27.357752,2025-11-30 09:18:57.647206,physical,,f,,
fe61a9a4-7260-4684-8705-e73835c8a3dc,f9fd7fe9-18eb-4519-806a-7a486be863c9,iPhone 15 Pro Max,苹果最新款旗舰手机，配备 A17 Pro 芯片，6.7 英寸 Super Retina XDR 显示屏，支持 5G 网络。,9999.00,50,电子产品,5.00,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=400"", ""type"": ""thumbnail""}]}}, ""currency"": ""CNY"", ""extensions"": {""brand"": ""Apple"", ""color"": [""深空黑色"", ""白色"", ""原色钛金属""], ""model"": ""iPhone 15 Pro Max"", ""storage"": [""256GB"", ""512GB"", ""1TB""]}, ""aiCompatible"": {""claude"": {""name"": ""paymind_purchase_physical"", ""description"": ""购买商品：iPhone 15 Pro Max。苹果最新款旗舰手机，配备 A17 Pro 芯片，6.7 英寸 Super Retina XDR 显示屏，支持 5G 网络。 价格：9999.00 CNY"", ""input_schema"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：fe61a9a4-7260-4684-8705-e73835c8a3dc""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}}, ""gemini"": {""name"": ""paymind_purchase_physical"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：fe61a9a4-7260-4684-8705-e73835c8a3dc""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}, ""description"": ""购买商品：iPhone 15 Pro Max。苹果最新款旗舰手机，配备 A17 Pro 芯片，6.7 英寸 Super Retina XDR 显示屏，支持 5G 网络。 价格：9999.00 CNY""}, ""openai"": {""function"": {""name"": ""paymind_purchase_physical"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：fe61a9a4-7260-4684-8705-e73835c8a3dc""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}, ""description"": ""购买商品：iPhone 15 Pro Max。苹果最新款旗舰手机，配备 A17 Pro 芯片，6.7 英寸 Super Retina XDR 显示屏，支持 5G 网络。 价格：9999.00 CNY""}}}}",2025-11-30 13:13:15.75495,2025-11-30 13:13:15.929221,physical,,f,,
50d9e716-9d43-4e51-8af7-3e55984e8414,f9fd7fe9-18eb-4519-806a-7a486be863c9,数字艺术 NFT - 未来城市,限量版数字艺术 NFT，由知名数字艺术家创作，展现未来城市的科幻场景。,0.50,999999,数字艺术,15.00,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1639322537504-6427a16b0a38?w=400"", ""type"": ""thumbnail""}]}}, ""currency"": ""ETH"", ""extensions"": {""chain"": ""ethereum"", ""artist"": ""Digital Artist"", ""rarity"": ""rare"", ""contractAddress"": ""0x0000000000000000000000000000000000000000""}, ""aiCompatible"": {""claude"": {""name"": ""paymind_mint_nft"", ""description"": ""铸造链上资产：数字艺术 NFT - 未来城市。限量版数字艺术 NFT，由知名数字艺术家创作，展现未来城市的科幻场景。"", ""input_schema"": {""type"": ""object"", ""required"": [""product_id"", ""wallet_address"", ""chain""], ""properties"": {""chain"": {""enum"": [""ethereum"", ""polygon"", ""solana"", ""bsc""], ""type"": ""string"", ""description"": ""区块链网络""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：50d9e716-9d43-4e51-8af7-3e55984e8414""}, ""wallet_address"": {""type"": ""string"", ""description"": ""接收NFT的钱包地址""}}}}, ""gemini"": {""name"": ""paymind_mint_nft"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""wallet_address"", ""chain""], ""properties"": {""chain"": {""enum"": [""ethereum"", ""polygon"", ""solana"", ""bsc""], ""type"": ""string"", ""description"": ""区块链网络""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：50d9e716-9d43-4e51-8af7-3e55984e8414""}, ""wallet_address"": {""type"": ""string"", ""description"": ""接收NFT的钱包地址""}}}, ""description"": ""铸造链上资产：数字艺术 NFT - 未来城市。限量版数字艺术 NFT，由知名数字艺术家创作，展现未来城市的科幻场景。""}, ""openai"": {""function"": {""name"": ""paymind_mint_nft"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""wallet_address"", ""chain""], ""properties"": {""chain"": {""enum"": [""ethereum"", ""polygon"", ""solana"", ""bsc""], ""type"": ""string"", ""description"": ""区块链网络""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：50d9e716-9d43-4e51-8af7-3e55984e8414""}, ""wallet_address"": {""type"": ""string"", ""description"": ""接收NFT的钱包地址""}}}, ""description"": ""铸造链上资产：数字艺术 NFT - 未来城市。限量版数字艺术 NFT，由知名数字艺术家创作，展现未来城市的科幻场景。""}}}}",2025-11-30 13:13:18.674029,2025-11-30 13:13:18.711059,nft,,f,,
c0f31306-bdbc-46ca-8412-57c5c13c664d,f9fd7fe9-18eb-4519-806a-7a486be863c9,Converse Chuck Taylor 高帮帆布鞋,经典高帮帆布鞋，百搭时尚，适合各种场合。,399.00,80,休闲鞋,0.06,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400"", ""type"": ""thumbnail""}]}}, ""type"": ""canvas_shoes"", ""brand"": ""Converse"", ""model"": ""Chuck Taylor"", ""sizes"": [""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""], ""colors"": [""黑色"", ""白色"", ""红色""], ""currency"": ""CNY""}",2025-12-01 04:15:17.830323,2025-12-01 04:15:17.830323,physical,,f,,
2f89e971-f4f2-4515-987d-61c210fb4139,f9fd7fe9-18eb-4519-806a-7a486be863c9,AirPods Pro 2 无线降噪耳机,苹果主动降噪技术，空间音频，自适应通透模式，最长 30 小时续航。,1899.00,100,耳机,0.10,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1606220945770-b5b6c2c55bf1?w=400"", ""type"": ""thumbnail""}]}}, ""type"": ""wireless_earbuds"", ""brand"": ""Apple"", ""model"": ""AirPods Pro 2"", ""currency"": ""CNY"", ""features"": [""主动降噪"", ""空间音频"", ""通透模式"", ""30小时续航""]}",2025-12-01 04:15:17.881501,2025-12-01 04:15:17.881501,physical,,f,,
19dde094-c1bc-41b0-b027-421819d849ad,f9fd7fe9-18eb-4519-806a-7a486be863c9,Sony WH-1000XM5 头戴式降噪耳机,业界领先的降噪技术，30 小时续航，支持快速充电，Hi-Res 音质。,2999.00,40,耳机,0.10,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400"", ""type"": ""thumbnail""}]}}, ""type"": ""over_ear_headphones"", ""brand"": ""Sony"", ""model"": ""WH-1000XM5"", ""currency"": ""CNY"", ""features"": [""主动降噪"", ""30小时续航"", ""快速充电"", ""Hi-Res""]}",2025-12-01 04:15:17.974971,2025-12-01 04:15:17.974971,physical,,f,,
77eae9b1-b8d1-40de-a96e-7a129390ca73,f9fd7fe9-18eb-4519-806a-7a486be863c9,Bose QuietComfort 45 降噪耳机,舒适佩戴，卓越降噪，20 小时续航，支持快充。,2499.00,35,耳机,0.09,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1484704849700-f032a568e944?w=400"", ""type"": ""thumbnail""}]}}, ""type"": ""over_ear_headphones"", ""brand"": ""Bose"", ""model"": ""QuietComfort 45"", ""currency"": ""CNY"", ""features"": [""主动降噪"", ""20小时续航"", ""快充""]}",2025-12-01 04:15:18.050073,2025-12-01 04:15:18.050073,physical,,f,,
f25dae62-4b98-4277-9923-ce465adccdcb,f9fd7fe9-18eb-4519-806a-7a486be863c9,JBL Tune 510BT 无线头戴式耳机,轻量设计，40 小时续航，快速充电，JBL 纯低音音效。,399.00,60,耳机,0.08,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1599669454699-248893623440?w=400"", ""type"": ""thumbnail""}]}}, ""type"": ""over_ear_headphones"", ""brand"": ""JBL"", ""model"": ""Tune 510BT"", ""currency"": ""CNY"", ""features"": [""40小时续航"", ""快速充电"", ""纯低音""]}",2025-12-01 04:15:18.112105,2025-12-01 04:15:18.112105,physical,,f,,
3559a5f5-7547-4afa-92e3-2d423c718590,f9fd7fe9-18eb-4519-806a-7a486be863c9,Nike Air Max 2024 跑步鞋,专业跑步鞋，采用 Air Max 气垫技术，提供卓越的缓震和支撑，适合长距离跑步。,899.00,100,运动鞋,8.00,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400"", ""type"": ""thumbnail""}]}}, ""currency"": ""CNY"", ""extensions"": {""size"": [""40"", ""41"", ""42"", ""43"", ""44"", ""45""], ""brand"": ""Nike"", ""color"": [""黑色"", ""白色"", ""红色""]}, ""aiCompatible"": {""claude"": {""name"": ""paymind_purchase_physical"", ""description"": ""购买商品：Nike Air Max 2024 跑步鞋。专业跑步鞋，采用 Air Max 气垫技术，提供卓越的缓震和支撑，适合长距离跑步。 价格：899.00 CNY"", ""input_schema"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：3559a5f5-7547-4afa-92e3-2d423c718590""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}}, ""gemini"": {""name"": ""paymind_purchase_physical"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：3559a5f5-7547-4afa-92e3-2d423c718590""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}, ""description"": ""购买商品：Nike Air Max 2024 跑步鞋。专业跑步鞋，采用 Air Max 气垫技术，提供卓越的缓震和支撑，适合长距离跑步。 价格：899.00 CNY""}, ""openai"": {""function"": {""name"": ""paymind_purchase_physical"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：3559a5f5-7547-4afa-92e3-2d423c718590""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}, ""description"": ""购买商品：Nike Air Max 2024 跑步鞋。专业跑步鞋，采用 Air Max 气垫技术，提供卓越的缓震和支撑，适合长距离跑步。 价格：899.00 CNY""}}}}",2025-11-30 13:13:16.455533,2025-11-30 13:13:16.491304,physical,,f,,
952fb00b-a48e-4139-9163-2c11a511ed38,f9fd7fe9-18eb-4519-806a-7a486be863c9,无线蓝牙耳机,高品质无线蓝牙耳机，支持主动降噪，续航 30 小时，适合日常通勤和运动。,299.00,200,音频设备,7.00,active,"{""core"": {""media"": {""images"": [{""url"": ""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400"", ""type"": ""thumbnail""}]}}, ""currency"": ""CNY"", ""extensions"": {""brand"": ""Sony"", ""features"": [""主动降噪"", ""30小时续航"", ""快速充电""]}, ""aiCompatible"": {""claude"": {""name"": ""paymind_purchase_physical"", ""description"": ""购买商品：无线蓝牙耳机。高品质无线蓝牙耳机，支持主动降噪，续航 30 小时，适合日常通勤和运动。 价格：299.00 CNY"", ""input_schema"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：952fb00b-a48e-4139-9163-2c11a511ed38""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}}, ""gemini"": {""name"": ""paymind_purchase_physical"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：952fb00b-a48e-4139-9163-2c11a511ed38""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}, ""description"": ""购买商品：无线蓝牙耳机。高品质无线蓝牙耳机，支持主动降噪，续航 30 小时，适合日常通勤和运动。 价格：299.00 CNY""}, ""openai"": {""function"": {""name"": ""paymind_purchase_physical"", ""parameters"": {""type"": ""object"", ""required"": [""product_id"", ""shipping_address""], ""properties"": {""quantity"": {""type"": ""number"", ""minimum"": 1, ""description"": ""购买数量""}, ""product_id"": {""type"": ""string"", ""description"": ""商品ID：952fb00b-a48e-4139-9163-2c11a511ed38""}, ""shipping_address"": {""type"": ""string"", ""description"": ""收货地址（实物商品需要）""}}}, ""description"": ""购买商品：无线蓝牙耳机。高品质无线蓝牙耳机，支持主动降噪，续航 30 小时，适合日常通勤和运动。 价格：299.00 CNY""}}}}",2025-11-30 13:13:17.017328,2025-11-30 13:13:17.066012,physical,,f,,
